Date,MMWR_week,Location,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
2021-12-03,48,CT,6919185,194071,6056168,169865,192342,196148,256355
2021-12-03,48,MD,12328530,203923,9577743,158423,182495,185898,238618
2021-12-03,48,IN,10259750,152398,7850449,116610,136481,142391,218820
2021-12-03,48,NJ,17283115,194582,13685682,154080,177427,181517,224848
2021-12-03,48,VA,15820055,185344,13237152,155083,177931,181616,236544
2021-12-03,48,HI,2850620,201333,2101040,148392,171062,174329,218589
2021-12-03,48,MT,1667325,156003,1339723,125351,144603,149892,218063
2021-12-03,48,TX,49546645,170875,37649312,129844,154385,158831,216114
2021-12-03,48,NV,4818610,156440,3999155,129836,151489,156421,209388
2021-12-03,48,MI,16752280,167743,12903723,129207,148320,153934,221644
2021-12-03,48,FL,39027525,181712,31257401,145534,166058,170678,235656
2021-12-03,48,AR,4877020,161608,3560912,117997,137838,142602,200273
2021-12-03,48,NC,17931260,170968,13704390,130666,150679,155728,220392
2021-12-03,48,SD,1522975,172154,1167120,131929,156060,162331,236461
2021-12-03,48,WV,3417495,190693,2127355,118704,136217,140490,204510
2021-12-03,48,AK,1291135,176494,967612,132270,156423,161404,217412
2021-12-03,48,PA,24118245,188395,18519159,144658,165090,170082,234126
2021-12-03,48,OH,18495595,158229,14587520,124796,144195,149974,220799
2021-12-03,48,SC,8439725,163919,6253756,121462,140425,145886,217846
2021-12-03,48,AZ,11903880,163544,9700701,133275,154806,159321,222674
2021-12-03,48,UT,5069420,158125,4146218,129329,157619,163680,235179
2021-12-03,48,VT,1320250,211582,1131068,181264,201560,205256,279969
2021-12-03,48,MS,4491905,150930,3217204,108100,127147,132871,198890
2021-12-03,48,MN,10044680,178109,8367634,148372,171712,177198,251305
2021-12-02,48,IA,5315295,168468,4232948,134163,156381,162721,241971
2021-12-02,48,NV,4798790,155797,3988518,129491,151122,156026,208777
2021-12-02,48,CA,71231045,180276,60030910,151930,176051,179685,232495
2021-12-02,48,OR,8046365,190774,6243406,148027,168894,172918,225676
2021-12-02,48,WY,817415,141236,637996,110235,129152,135462,208739
2021-12-02,48,SC,8411045,163362,6233129,121062,139997,145427,217116
2021-12-02,48,IN,10220060,151808,7819045,116144,136004,141872,217950
2021-12-02,48,TN,10320500,151124,8234345,120576,140219,146480,218324
2021-12-02,48,MT,1662025,155507,1333956,124811,144063,149319,217260
2021-12-02,48,KS,4840995,166168,3728475,127981,150342,155820,228114
2021-12-02,48,HI,2830120,199885,2095181,147978,170711,173960,218072
2021-12-02,48,WI,9354055,160655,8261595,141892,163208,169060,249287
2021-12-02,48,AL,7880350,160719,5269173,107464,125372,130885,193995
2021-12-02,48,OK,6059580,153137,4913912,124184,146672,152873,220131
2021-12-02,48,MS,4474705,150352,3216798,108086,127132,132854,198864
2021-12-02,48,FL,38857805,180921,31170744,145130,165628,170218,234976
2021-12-02,48,ID,2770290,155019,1895988,106095,0,141500,216951
2021-12-02,48,VT,1320810,211672,1126723,180568,200925,204582,279301
2021-12-02,48,NY,36004965,185082,30151123,154990,178176,181840,214394
2021-12-02,48,ND,1153520,151368,903605,118574,140073,145848,222734
2021-12-02,48,MA,13475520,195510,11696256,169695,190971,194236,244501
2021-12-02,48,PA,23974275,187270,18442499,144060,164500,169452,233218
2021-12-02,48,WV,3406605,190085,2126798,118673,136183,140452,204433
