filenames,done,total_tweets,good_tweets
2020_october23_october24.csv,1,707,643
2020_october24_october25.csv,1,644,582
2020_october25_october26.csv,1,507,461
2020_october26_october27.csv,1,576,504
2020_october27_october28.csv,1,485,443
2020_october28_october29.csv,1,537,485
2020_october29_october30.csv,1,686,631
2020_october2_october3.csv,1,318,287
2020_october30_october31.csv,1,698,625
2020_october31_november1.csv,1,1070,993
2020_october3_october4.csv,1,384,344
2020_october4_october5.csv,1,389,333
2020_october5_october6.csv,1,361,323
2020_october6_october7.csv,1,396,353
2020_october7_october8.csv,1,464,412
2020_october8_october9.csv,1,537,478
2020_october9_october10.csv,1,574,527
2020_september10_september11.csv,1,628,570
2020_september11_september12.csv,1,678,623
2020_september12_september13.csv,1,681,613
2020_september13_september14.csv,1,644,583
2020_september14_september15.csv,1,645,579
2020_september15_september16.csv,1,693,617
2020_september16_september17.csv,1,635,575
2020_september17_september18.csv,1,582,528
2020_september18_september19.csv,1,737,669
2020_september19_september20.csv,1,702,628
2020_september1_september2.csv,1,1449,1325
2020_september20_september21.csv,1,588,513
2020_september21_september22.csv,1,660,590
2020_september22_september23.csv,1,634,557
2020_september23_september24.csv,1,607,549
2020_september24_september25.csv,1,666,578
2020_september25_september26.csv,1,660,594
2020_september26_september27.csv,1,657,581
2020_september27_september28.csv,1,600,533
2020_september28_september29.csv,1,635,570
2020_september29_september30.csv,1,609,535
2020_september2_september3.csv,1,1326,1216
2020_september30_october1.csv,1,580,512
2020_september3_september4.csv,1,1299,1189
2020_september4_september5.csv,1,1586,1476
2020_september5_september6.csv,1,1374,1264
2020_september6_september7.csv,1,1274,1184
2020_september7_september8.csv,1,1316,1227
2020_september8_september9.csv,1,1379,1270
2020_september9_september10.csv,1,1120,1050
2021_april10_april11.csv,1,626,474
2021_april11_april12.csv,1,589,389
2021_april12_april13.csv,1,706,503
2021_april13_april14.csv,1,799,642
2021_april14_april15.csv,1,547,376
2021_april15_april16.csv,1,522,410
2021_april16_april17.csv,1,641,468
2021_april17_april18.csv,1,511,354
2021_april18_april19.csv,1,578,420
2021_april19_april20.csv,1,640,495
2021_april1_april2.csv,1,738,564
2021_april20_april21.csv,1,624,473
2021_april21_april22.csv,1,584,457
2021_april22_april23.csv,1,611,493
2021_april23_april24.csv,1,631,494
2021_april24_april25.csv,1,570,426
2021_april25_april26.csv,1,519,387
2021_april26_april27.csv,1,523,402
2021_april27_april28.csv,1,577,437
2021_april28_april29.csv,1,608,434
2021_april29_april30.csv,1,831,634
2021_april2_april3.csv,1,726,529
2021_april30_may1.csv,1,535,366
2021_april3_april4.csv,1,662,448
2021_april4_april5.csv,1,627,435
2021_april5_april6.csv,1,720,515
2021_april6_april7.csv,1,732,522
2021_april7_april8.csv,1,776,590
2021_april8_april9.csv,1,702,511
2021_april9_april10.csv,1,722,557
2021_august10_august11.csv,1,278,238
2021_august11_august12.csv,1,264,232
2021_august12_august13.csv,1,301,267
2021_august13_august14.csv,1,293,256
