State,Date,New Cases,Historic Cases
United States,Aug 14 2020,56240,0
United States,Aug 13 2020,52153,0
United States,Aug 12 2020,55543,0
United States,Aug 11 2020,59189,0
United States,Aug 10 2020,44147,0
United States,Aug  9 2020,46358,0
United States,Aug  8 2020,52082,0
United States,Aug  7 2020,62143,0
United States,Aug  6 2020,55159,0
United States,Aug  5 2020,56250,0
United States,Aug  4 2020,51917,0
United States,Aug  3 2020,45305,0
United States,Aug  2 2020,51459,0
United States,Aug  1 2020,56417,0
United States,Jul 31 2020,68822,0
United States,Jul 30 2020,67145,0
United States,Jul 29 2020,65130,0
United States,Jul 28 2020,59192,0
United States,Jul 27 2020,53264,0
United States,Jul 26 2020,59005,0
United States,Jul 25 2020,61080,0
United States,Jul 24 2020,73913,0
United States,Jul 23 2020,74061,0
United States,Jul 22 2020,72660,0
United States,Jul 21 2020,63325,0
United States,Jul 20 2020,59018,0
United States,Jul 19 2020,59919,0
United States,Jul 18 2020,67798,0
United States,Jul 17 2020,77085,0
United States,Jul 16 2020,70178,0
United States,Jul 15 2020,72312,0
United States,Jul 14 2020,65002,0
United States,Jul 13 2020,56539,0
United States,Jul 12 2020,59643,0
United States,Jul 11 2020,68127,0
United States,Jul 10 2020,68569,0
United States,Jul  9 2020,62309,0
United States,Jul  8 2020,65382,0
United States,Jul  7 2020,56060,0
United States,Jul  6 2020,51214,0
United States,Jul  5 2020,40419,0
United States,Jul  4 2020,49594,0
United States,Jul  3 2020,60290,0
United States,Jul  2 2020,55608,0
United States,Jul  1 2020,59737,0
United States,Jun 30 2020,46591,0
United States,Jun 29 2020,38601,0
United States,Jun 28 2020,37798,0
United States,Jun 27 2020,43619,0
United States,Jun 26 2020,46551,0
United States,Jun 25 2020,47010,0
United States,Jun 24 2020,37429,0
United States,Jun 23 2020,37922,0
United States,Jun 22 2020,28697,0
United States,Jun 21 2020,27326,0
United States,Jun 20 2020,33339,0
United States,Jun 19 2020,33308,0
United States,Jun 18 2020,28757,0
United States,Jun 17 2020,25603,0
United States,Jun 16 2020,24927,0
United States,Jun 15 2020,20588,0
United States,Jun 14 2020,20618,0
United States,Jun 13 2020,26008,0
United States,Jun 12 2020,28747,0
United States,Jun 11 2020,22689,0
United States,Jun 10 2020,22483,0
United States,Jun  9 2020,18595,0
United States,Jun  8 2020,18038,0
United States,Jun  7 2020,17780,0
United States,Jun  6 2020,23573,0
United States,Jun  5 2020,24424,0
United States,Jun  4 2020,20711,0
United States,Jun  3 2020,21111,0
United States,Jun  2 2020,20731,0
United States,Jun  1 2020,17358,0
United States,May 31 2020,21206,0
United States,May 30 2020,23710,0
United States,May 29 2020,23553,0
United States,May 28 2020,24198,0
United States,May 27 2020,20364,0
United States,May 26 2020,16957,0
United States,May 25 2020,19148,0
United States,May 24 2020,21765,0
United States,May 23 2020,20979,0
United States,May 22 2020,26026,0
United States,May 21 2020,25525,0
United States,May 20 2020,24488,0
United States,May 19 2020,20693,0
United States,May 18 2020,24692,0
United States,May 17 2020,19224,0
United States,May 16 2020,25303,0
United States,May 15 2020,27111,0
United States,May 14 2020,34531,0
United States,May 13 2020,17739,0
United States,May 12 2020,24260,0
United States,May 11 2020,19295,0
United States,May 10 2020,21656,0
United States,May  9 2020,25977,0
United States,May  8 2020,28044,0
United States,May  7 2020,30617,0
United States,May  6 2020,24301,0
United States,May  5 2020,23210,0
United States,May  4 2020,21176,0
United States,May  3 2020,27836,0
United States,May  2 2020,28398,0
United States,May  1 2020,30229,0
United States,Apr 30 2020,32420,0
United States,Apr 29 2020,27215,0
United States,Apr 28 2020,23488,0
United States,Apr 27 2020,24219,0
United States,Apr 26 2020,27233,0
United States,Apr 25 2020,33377,0
United States,Apr 24 2020,34130,0
United States,Apr 23 2020,32998,0
United States,Apr 22 2020,31434,0
United States,Apr 21 2020,25457,0
United States,Apr 20 2020,25810,0
United States,Apr 19 2020,27884,0
United States,Apr 18 2020,27599,0
United States,Apr 17 2020,29777,0
United States,Apr 16 2020,31818,0
United States,Apr 15 2020,25380,0
United States,Apr 14 2020,25186,0
United States,Apr 13 2020,24933,0
United States,Apr 12 2020,27799,0
United States,Apr 11 2020,32207,0
United States,Apr 10 2020,31920,0
United States,Apr  9 2020,34988,0
United States,Apr  8 2020,33682,0
United States,Apr  7 2020,30225,0
United States,Apr  6 2020,28584,0
United States,Apr  5 2020,27478,0
United States,Apr  4 2020,32492,0
United States,Apr  3 2020,31839,0
United States,Apr  2 2020,30045,0
United States,Apr  1 2020,28347,0
United States,Mar 31 2020,23297,0
United States,Mar 30 2020,15831,0
United States,Mar 29 2020,26334,0
United States,Mar 28 2020,20635,0
United States,Mar 27 2020,20038,0
United States,Mar 26 2020,18772,0
United States,Mar 25 2020,14160,0
United States,Mar 24 2020,11351,0
United States,Mar 23 2020,10729,0
United States,Mar 22 2020,10868,0
United States,Mar 21 2020,9218,0
United States,Mar 20 2020,7437,0
United States,Mar 19 2020,6174,0
United States,Mar 18 2020,4903,0
United States,Mar 17 2020,3222,0
United States,Mar 16 2020,2349,0
United States,Mar 15 2020,2202,0
United States,Mar 14 2020,1231,0
United States,Mar 13 2020,911,0
United States,Mar 12 2020,748,0
United States,Mar 11 2020,514,0
United States,Mar 10 2020,493,0
United States,Mar  9 2020,420,0
United States,Mar  8 2020,209,0
United States,Mar  7 2020,160,0
United States,Mar  6 2020,121,0
United States,Mar  5 2020,78,0
United States,Mar  4 2020,67,0
United States,Mar  3 2020,64,0
United States,Mar  2 2020,36,0
United States,Mar  1 2020,18,0
United States,Feb 29 2020,9,0
United States,Feb 28 2020,4,0
United States,Feb 27 2020,5,0
United States,Feb 26 2020,8,0
United States,Feb 25 2020,4,0
United States,Feb 24 2020,4,0
United States,Feb 23 2020,0,0
United States,Feb 22 2020,6,0
United States,Feb 21 2020,5,0
United States,Feb 20 2020,1,0
United States,Feb 19 2020,3,0
United States,Feb 18 2020,5,0
